episode,exp
0,2.246856487
10000,2.356726973
20000,2.281205403
30000,2.301458539
60000,2.40833405
90000,2.362334974
120000,2.331233429
150000,2.23634502
180000,2.172096265
210000,2.122834831
240000,2.053431219
270000,2.005374045
300000,1.958738943
330000,1.914437355
360000,1.814349504
390000,1.776558488
420000,1.719898851
450000,1.698820321
480000,1.692244764
510000,1.602689674
540000,1.55352243
570000,1.555620158
600000,1.500376932
630000,1.458153705
660000,1.462825695
690000,1.406507736
720000,1.402344349
750000,1.385265995
780000,1.331437711
810000,1.309387284
840000,1.283727194
870000,1.295104738
900000,1.234597553
930000,1.269691637
960000,1.288556841
990000,1.298684529
