episode,nc_last
1,0.89518386
2000,0.1883576
4000,0.24286805
6000,0.2416424
8000,0.089239016
10000,0.16674128
12000,0.07120521
14000,0.072987586
16000,0.15778856
18000,0.10519995
20000,0.13321108
22000,0.10261671
24000,0.16556017
26000,0.20600145
28000,0.2019131
30000,0.20744745
32000,0.20724897
34000,0.19282942
36000,0.18835191
38000,0.1826516
40000,0.22859658
42000,0.20497905
44000,0.22417359
46000,0.20962869
48000,0.21072124
50000,0.17049997
52000,0.17385058
54000,0.17131315
56000,0.1764294
58000,0.17060952
60000,0.18831103
62000,0.20965181
64000,0.17005853
66000,0.17961745
68000,0.2058032
70000,0.20313786
72000,0.22222047
74000,0.22920977
76000,0.21757771
78000,0.21007954
80000,0.1969107
82000,0.16440533
84000,0.1521238
86000,0.20976205
88000,0.19399093
90000,0.17051606
92000,0.15025179
94000,0.1356818
96000,0.13499217
98000,0.1418552
100000,0.14940725
102000,0.18540864
104000,0.13850926
106000,0.14298068
108000,0.09712349
110000,0.10755433
112000,0.11444588
114000,0.19863902
116000,0.21655951
118000,0.1978571
120000,0.16379328
122000,0.1955217
124000,0.27640206
126000,0.27337587
128000,0.2918254
130000,0.26598203
132000,0.27768075
134000,0.28441572
136000,0.2641269
138000,0.28414476
140000,0.27534878
142000,0.26333636
144000,0.28284705
146000,0.2968499
148000,0.2968092
150000,0.2704767
152000,0.30637646
154000,0.34107816
156000,0.35841572
158000,0.36332178
160000,0.36253345
162000,0.36735725
164000,0.3552481
166000,0.36394608
168000,0.3694716
170000,0.37875712
172000,0.36606133
174000,0.35655165
176000,0.36178875
178000,0.36993968
180000,0.35880733
182000,0.36411256
184000,0.36392295
186000,0.39951813
188000,0.39951265
190000,0.38957608
192000,0.3981105
194000,0.4003474
196000,0.39980006
198000,0.38889933
200000,0.40501928
202000,0.40448296
204000,0.41038477
206000,0.40508068
208000,0.41260254
210000,0.40215552
212000,0.41201627
214000,0.40631187
216000,0.3940503
218000,0.41756028
220000,0.41881883
222000,0.42039526
224000,0.4230765
226000,0.43339384
228000,0.44146246
230000,0.44167244
232000,0.42404854
234000,0.42428648
236000,0.41936493
238000,0.41796172
240000,0.41267502
242000,0.42424005
244000,0.4240117
246000,0.4185955
248000,0.42624712
250000,0.43678105
252000,0.4403516
254000,0.44761288
256000,0.44920063
258000,0.44910824
260000,0.44382828
262000,0.44504023
264000,0.44688475
266000,0.44664
268000,0.4464687
270000,0.45076764
272000,0.45170343
274000,0.4481172
276000,0.44466054
278000,0.4397139
280000,0.44074333
282000,0.44117272
284000,0.44298887
286000,0.44210023
288000,0.44218153
290000,0.44521254
292000,0.44981712
294000,0.44625127
296000,0.44672692
298000,0.44579983
300000,0.44847882
302000,0.44546258
304000,0.44638312
306000,0.44941747
308000,0.44917154
310000,0.44470835
312000,0.44158936
314000,0.4486084
316000,0.45216626
318000,0.4528302
320000,0.45372856
322000,0.4574734
324000,0.45682967
326000,0.45769972
328000,0.45715016
330000,0.45367813
332000,0.45213044
334000,0.4529273
336000,0.45353287
338000,0.4576074
340000,0.456398
342000,0.45539987
344000,0.45258635
346000,0.45333755
348000,0.45537055
350000,0.45634997
352000,0.45691055
354000,0.45739925
356000,0.45896113
358000,0.455764
360000,0.45643967
362000,0.45854634
364000,0.4554242
366000,0.4541844
368000,0.45370853
370000,0.45100844
372000,0.45341086
374000,0.45342773
376000,0.4560765
378000,0.4612342
380000,0.4646765
382000,0.46398342
384000,0.4591242
386000,0.45833528
388000,0.46139395
390000,0.46394813
392000,0.46276248
394000,0.46302497
396000,0.46354878
398000,0.4643799
400000,0.45913976
