episode,nc_last
1,0.89518386
2000,0.114020824
4000,0.17239311
6000,0.30058467
8000,0.32419732
10000,0.3246879
12000,0.3336259
14000,0.3302986
16000,0.36230713
18000,0.39615953
20000,0.33627465
22000,0.3580233
24000,0.32894954
26000,0.3661608
28000,0.3895647
30000,0.3672607
32000,0.34893414
34000,0.38854563
36000,0.38655972
38000,0.38335133
40000,0.34674802
42000,0.36607406
44000,0.37722328
46000,0.3726998
48000,0.36604542
50000,0.4114241
52000,0.36067164
54000,0.41129822
56000,0.40800297
58000,0.42958415
60000,0.43792236
62000,0.42853835
64000,0.42986912
66000,0.44163954
68000,0.44178346
70000,0.4397692
72000,0.4422107
74000,0.45129216
76000,0.44741428
78000,0.4512483
80000,0.43915546
82000,0.45318377
84000,0.45867416
86000,0.45593336
88000,0.4494167
90000,0.44834912
92000,0.45871198
94000,0.4553028
96000,0.4621082
98000,0.4585254
100000,0.45683455
102000,0.4595269
104000,0.46391165
106000,0.4664719
108000,0.458963
110000,0.46998125
112000,0.46826673
114000,0.4724449
116000,0.47365224
118000,0.47278
120000,0.47520423
122000,0.47586095
124000,0.4782533
126000,0.47912657
128000,0.48166883
130000,0.47896183
132000,0.47997516
134000,0.4804951
136000,0.48034704
138000,0.4781832
140000,0.48032734
142000,0.48140833
144000,0.48306334
146000,0.48259842
148000,0.48177612
150000,0.4791056
152000,0.479581
154000,0.48167205
156000,0.4829601
158000,0.48081118
160000,0.48117673
162000,0.48322445
164000,0.47993284
166000,0.48189998
168000,0.482002
170000,0.48385537
172000,0.48605716
174000,0.4860009
176000,0.48526394
178000,0.482329
180000,0.48337892
182000,0.48255384
184000,0.48334634
186000,0.48509467
188000,0.4856749
190000,0.48457673
192000,0.484841
194000,0.4859451
196000,0.48568356
198000,0.48640388
200000,0.4859618
202000,0.4860922
204000,0.48712957
206000,0.48609316
208000,0.48487413
210000,0.4871273
212000,0.48647273
214000,0.48516673
216000,0.48528993
218000,0.48777968
220000,0.48704737
222000,0.48743296
224000,0.4873873
226000,0.48889542
228000,0.48702288
230000,0.48560208
232000,0.48762417
234000,0.4862677
236000,0.48616135
238000,0.4857906
240000,0.4878415
242000,0.4863907
244000,0.4866528
246000,0.4855094
248000,0.48613155
250000,0.48807973
252000,0.48786056
254000,0.48754978
256000,0.4871856
258000,0.48745978
260000,0.48807847
262000,0.48814362
264000,0.4883988
266000,0.48832428
268000,0.48918098
270000,0.48887074
272000,0.48961467
274000,0.48937023
276000,0.48908174
278000,0.489241
280000,0.48927867
282000,0.4889933
284000,0.48841864
286000,0.48828948
288000,0.48821557
290000,0.48883533
292000,0.48875183
294000,0.48852348
296000,0.48781794
298000,0.4876486
300000,0.48820895
302000,0.4877044
304000,0.48837948
306000,0.48905337
308000,0.48911184
310000,0.4888512
312000,0.48815262
314000,0.48878193
316000,0.48897016
318000,0.48956698
320000,0.49009597
322000,0.4903611
324000,0.49008262
326000,0.49001133
328000,0.4908272
330000,0.4907328
332000,0.49068034
334000,0.4904729
336000,0.48920846
338000,0.48856723
340000,0.48887056
342000,0.48913825
344000,0.48871344
346000,0.4892279
348000,0.48939484
350000,0.48969716
352000,0.48968875
354000,0.4900307
356000,0.48960686
358000,0.49023682
360000,0.4897195
362000,0.4892521
364000,0.4894091
366000,0.48933387
368000,0.489743
370000,0.48944867
372000,0.49007285
374000,0.48997152
376000,0.48969126
378000,0.49078047
380000,0.49075907
382000,0.49134386
384000,0.49205196
386000,0.49239177
388000,0.4927026
390000,0.4923821
392000,0.49228013
394000,0.49230683
396000,0.49238706
398000,0.49182713
400000,0.49211538
