episode,eta,kl_fit,interference_l1,q_rmse
64,0.5,0.001186742753816361,0.0854655195559774,6.6689825
128,0.5,0.0010675695634240077,0.11946275426281823,5.3792934
192,0.5,0.0006215164796326702,0.1082279583463421,4.7133546
256,0.5,0.0004998547573402328,0.0982130282433518,4.381225
320,0.5,0.0004532315924147805,0.0903392493131414,4.4381127
384,0.5,0.00022229147774461517,0.08792998982143813,5.146909
448,0.5,0.0003305909758348698,0.07577151036924785,5.110563
512,0.5,0.00015421639545820653,0.06630490721920423,5.1004677
576,0.5,0.00018687533576729917,0.06214113352901262,4.976464
640,0.5,0.00022500294809495763,0.08274344350728724,4.9263024
704,0.5,0.00019424018319114111,0.06804649486106687,5.0633774
768,0.5,0.00011950634995484602,0.06263704561664686,5.1292834
832,0.5,0.00013111209815089422,0.06097758617580331,4.916048
896,0.5,0.0002590953701418703,0.07342091412389795,5.4718056
960,0.5,0.0002884988654472366,0.06754232791558623,5.9979587
1024,0.5,0.00017495175926606247,0.11434250419230027,5.61536
1088,0.5,0.00021589287994343235,0.05628700139753234,5.523432
1152,0.5,0.00017873412947605564,0.06822315158757344,5.544576
1216,0.5,0.0002891922451216606,0.08313129301720881,5.0680137
1280,0.5,0.00037205439473516033,0.0652376295723529,4.987163
1344,0.5,0.00019886490297751867,0.07272230724789744,4.9488974
1408,0.5,0.00023911313467744384,0.05346258987147185,4.920348
1472,0.5,0.0001994375730597263,0.06314276279876156,4.963814
1536,0.5,0.00022110761239994592,0.0590040560798529,4.9186893
1600,0.5,0.0002185326536992259,0.05236218965811074,4.8989954
1664,0.5,0.00031093170216248015,0.06317371165091928,4.9339967
1728,0.5,0.00021995446276998828,0.05820992619284274,4.8557644
1792,0.5,0.00015365655080118364,0.05580454045016538,4.8662033
1856,0.5,0.00021398938523623545,0.06284631722660337,4.840055
1920,0.5,0.00015632397766063123,0.049347059591024735,4.864651
1984,0.5,0.0003934501798193849,0.06184167078183555,4.843514
2048,0.5,0.000211654342982076,0.05167697447031969,4.790841
2112,0.5,0.0001893900577366973,0.05504946765758918,4.7680135
2176,0.5,0.00015915663570922333,0.053777355340155375,4.774406
2240,0.5,0.0003801639228614102,0.07621694551638608,4.783794
2304,0.5,0.00018063229477623585,0.04784770740451576,4.8300724
2368,0.5,0.0002544358152200792,0.0758066178743295,4.826556
2432,0.5,0.00034948263653939864,0.07511162948302502,4.8352747
2496,0.5,0.00017510865912914026,0.05634342918795676,4.8144345
2560,0.5,0.00014214939712371043,0.05087258256053827,4.7594123
2624,0.5,0.00021865757882781983,0.051642239477197496,4.7588286
2688,0.5,0.0002983759403656195,0.05828500114614753,4.754973
2752,0.5,0.0002356004123254531,0.04962907399733557,4.804897
2816,0.5,0.00016681350210162165,0.05329917250422607,4.829014
2880,0.5,0.00019057108750245396,0.04873035919885239,4.8119936
2944,0.5,0.00015062941283059235,0.05796206114283988,4.8031855
3008,0.5,0.0002717496915821634,0.07008843781284421,4.843418
3072,0.5,0.00024573343521419827,0.05842230842926953,4.8241825
3136,0.5,0.0002624345327861722,0.05556440352579639,4.7865686
3200,0.5,0.00017001807768270947,0.06042988571706729,4.802532
3264,0.5,0.0001214901821278147,0.04234810806656648,4.8019047
3328,0.5,0.0001634154292082383,0.053706494736912046,4.798419
3392,0.5,0.0004955125847041466,0.08707381340858698,4.8119264
3456,0.5,0.00023516172619080197,0.06234721845387766,4.790352
3520,0.5,0.0002602019722325445,0.04611208253771687,4.773514
3584,0.5,0.00018777342518874589,0.050676112488359466,4.7936277
3648,0.5,0.0001779580215952592,0.05303266759234338,4.7930903
3712,0.5,0.0001761356088280363,0.05116219876595725,4.79822
3776,0.5,0.00023466283851471067,0.06037251227730604,4.7664027
3840,0.5,0.0003794311022540962,0.056335003150491364,4.7264047
3904,0.5,0.00018249361781898663,0.07127674731901859,4.7621517
3968,0.5,0.0001802368836381772,0.06861010176583168,4.7168694
4032,0.5,0.00019763176544020368,0.06250403452752616,4.7306457
4096,0.5,0.00021448241145855052,0.06959084827846923,4.7365203
4160,0.5,0.00032548435202833,0.06658560764195702,4.7606416
4224,0.5,0.00024278109865759768,0.07039683365393065,4.7909245
4288,0.5,0.0003484262752473504,0.06636856466990773,4.8584075
4352,0.5,0.00026593020694025865,0.05915501173357913,4.821052
4416,0.5,0.00032971971207938197,0.05464088313013814,4.789765
4480,0.5,0.0004467240543649558,0.05370440967348005,4.794935
4544,0.5,0.0002938514909828882,0.0802142861184829,4.778034
4608,0.5,0.0002659932636650948,0.053286840574589746,4.7482486
4672,0.5,0.00039831988462212203,0.048052681079738396,4.758194
4736,0.5,0.0003852714175455471,0.054024641778281576,4.7649493
4800,0.5,0.0005651318304652856,0.07971355863165339,4.7783294
4864,0.5,0.00024780081923057726,0.05528777162971046,4.8393373
4928,0.5,0.0004218987881055606,0.05699147064626088,4.864353
4992,0.5,0.00014078272538776778,0.04943060953087909,4.8617773
5056,0.5,0.00016586424380439483,0.03942598549437482,4.851339
5120,0.5,0.0005616184208937133,0.09030400404721259,4.7869654
5184,0.5,0.0003242254503710623,0.05336972416471286,4.7787576
5248,0.5,0.0002550516652869798,0.04803455009520921,4.7969675
5312,0.5,0.00029187385676740545,0.06881078934025132,4.7558575
5376,0.5,0.00020682540556168425,0.05903684294574057,4.7297287
5440,0.5,0.00026974238340926604,0.0743842177004532,4.6946034
5504,0.5,0.0010106955059035903,0.047353844303889524,4.685087
5568,0.5,0.00015541398687122962,0.05604854356066504,4.657756
5632,0.5,0.0002483818532352546,0.05763132080797224,4.6550097
5696,0.5,0.0006032505177836356,0.05947185297445621,4.6158957
5760,0.5,0.0003857023237565122,0.05289809777084736,4.606759
5824,0.5,0.0003626389307331354,0.06331596545658795,4.652641
5888,0.5,0.0002004365895172397,0.05121193184451503,4.651657
5952,0.5,0.0003142919262505269,0.053945069759799624,4.67088
6016,0.5,0.00028834502672976447,0.05171185932106521,4.675236
6080,0.5,0.0003481949181756742,0.053852956545723064,4.6809525
6144,0.5,0.00029880853576792613,0.05265085045162247,4.865939
6208,0.5,0.0003786262261807375,0.06349440768782874,4.765946
6272,0.5,0.0003599918704598257,0.044179053976218345,4.826745
6336,0.5,0.00022686110162317696,0.050886483697435585,4.996025
6400,0.5,0.00028345389776351275,0.05924533639747758,4.809591
6464,0.5,0.0003802025628309431,0.048946952244692726,4.8974137
6528,0.5,0.00025588263211460087,0.06263979388893552,4.932063
6592,0.5,0.0005009718771554727,0.050362922844812176,4.936376
6656,0.5,0.00021642851704424518,0.05654507887384866,4.8712516
6720,0.5,0.0004285888097623875,0.05917188893068618,4.7758703
6784,0.5,0.0002400344247047649,0.061550728930152135,4.827353
6848,0.5,0.0008395497960758375,0.06435100936475506,4.905173
6912,0.5,0.00024497594921350747,0.045712744536534615,4.7718043
6976,0.5,0.0002542171159542964,0.05598778794704694,4.7574234
7040,0.5,0.0002645637561701579,0.05600249765675597,4.7440805
7104,0.5,0.0002684841348391567,0.06274779320486723,4.770376
7168,0.5,0.00027357099080451433,0.05523028644960174,4.760786
7232,0.5,0.000273063161533974,0.06566872105770831,4.7716584
7296,0.5,0.0002527180950979428,0.05522202484577319,4.7634754
7360,0.5,0.00027626695951125035,0.04846840466252615,4.782492
7424,0.5,0.0003017356095369905,0.05199295744756784,4.7523155
7488,0.5,0.0002332758599372653,0.05408442936546644,4.742173
7552,0.5,0.0002601342606853923,0.05112134089222259,4.7268953
7616,0.5,0.00026096943416163297,0.04678349848749056,4.7298546
7680,0.5,0.000444963036209105,0.06639581495826949,4.7776732
7744,0.5,0.00016983235937704404,0.041863312674636166,4.77136
7808,0.5,0.00024227980755142653,0.05156380161588814,4.7739625
7872,0.5,0.000269164658935514,0.049903346571033506,4.771855
7936,0.5,0.00037822375034224365,0.040460328503808034,4.7428837
8000,0.5,0.00027161332963506385,0.04544173548283014,4.739862
8064,0.5,0.00037937036893093996,0.05827723779548837,2.973497
8128,0.5,0.00021159740474831624,0.03474327880121882,3.021766
8192,0.5,0.0002538438437701766,0.03713515736310425,3.062515
8256,0.5,9.494976752445036e-05,0.03225907857507501,3.0037818
8320,0.5,0.0001702505399100038,0.04589805729438233,3.0157342
8384,0.5,0.00011901967836406997,0.04116980105038027,2.9444795
8448,0.5,0.0002100046126348441,0.028554832684915356,2.9890273
8512,0.5,0.00012764439299754396,0.03638772815874009,2.955024
8576,0.5,8.546009563425676e-05,0.025586064597389633,2.9172294
8640,0.5,0.0001720664013451564,0.029052467573303015,2.9172485
8704,0.5,0.00012006954597635278,0.03663155691164456,2.880348
8768,0.5,0.00010569613947170136,0.036772373697727054,2.8811839
8832,0.5,0.0003841912427454701,0.038903429619221164,2.854704
8896,0.5,0.00012286305539446678,0.029816571190480732,2.8074496
8960,0.5,0.00013282422841103192,0.03229887798562004,2.8274524
9024,0.5,0.00014321382942974862,0.03227988918342326,2.8202505
9088,0.5,0.00011473164560062715,0.02895965822762502,2.8132844
9152,0.5,0.00012938597041688304,0.03549588728559909,2.8254778
9216,0.5,9.110908902382814e-05,0.023528583154729513,2.845013
9280,0.5,0.00020633750810361562,0.036361947767029994,2.7899773
9344,0.5,0.00040581683431424386,0.04081037602134996,2.7819154
9408,0.5,0.00014271285812128554,0.03124039621934673,2.824549
9472,0.5,0.00015580757011399388,0.038227937625625034,2.823617
9536,0.5,0.00026367351831405966,0.03739553548264099,2.8161807
9600,0.5,0.00010221501371093462,0.02971189018358302,2.7061846
9664,0.5,0.00015126236459438397,0.04707834296999456,2.7677622
9728,0.5,9.159987361126046e-05,0.02784043146147563,2.7749434
9792,0.5,0.000223152414859606,0.049451183426436875,2.848236
9856,0.5,0.0001679361390040068,0.037538238920690366,2.8382611
9920,0.5,0.00020961544316224132,0.03676306147975515,2.8296022
9984,0.5,0.00013155344614546038,0.04496832393750733,2.9439735
10048,0.5,0.0001614241736372473,0.03912056376516726,2.8594007
10112,0.5,0.00015390404451372486,0.034252397841792064,2.8022952
10176,0.5,0.00010487839986600041,0.04167110583401218,2.7722623
10240,0.5,0.0001359956052472395,0.04083771491796556,2.743859
10304,0.5,0.0002014117302623521,0.05225840034092352,2.8612542
10368,0.5,0.00017780422294063928,0.04303391915860417,2.941521
10432,0.5,0.00014332530114850617,0.038370201856154876,3.0759728
10496,0.5,0.0001482351843477053,0.0454999720625777,3.0148225
10560,0.5,0.00010662000732289448,0.039193264310287655,3.0415003
10624,0.5,0.0001508889209357481,0.03890681893721417,2.940337
10688,0.5,0.00017058475015204098,0.04100378086330411,2.8053517
10752,0.5,0.00017302626123714168,0.038830481837174975,2.8770611
10816,0.5,0.00015684482573577504,0.03486752005228708,2.9314897
10880,0.5,0.0001969504911148061,0.03058642977002044,2.8939726
10944,0.5,0.00014700218562738618,0.03062442900900932,2.846572
11008,0.5,0.00021836365958198954,0.044214893383909014,2.836533
11072,0.5,0.00012164372538603539,0.03167226185277589,2.855364
11136,0.5,0.0002166351379394234,0.04213510711602852,2.8380048
11200,0.5,9.906551937482228e-05,0.030577325939027813,2.8374887
11264,0.5,0.00010768712626845774,0.0326682019046763,2.8415709
11328,0.5,0.00012849596112118888,0.03536728941318026,2.779322
11392,0.5,0.00010253350723132826,0.03810732841324084,2.7525604
11456,0.5,0.000378070856730447,0.03418435673163528,2.8283799
11520,0.5,0.00014149076871459103,0.03200315284767321,2.7730665
11584,0.5,0.00012183671814065227,0.029745617347064882,2.7838717
11648,0.5,0.0002826592368144316,0.05285500844148304,2.7962544
11712,0.5,0.0001667835661294248,0.028948148534823304,2.8159156
11776,0.5,0.0001707244316588785,0.03867095990630553,2.8017693
11840,0.5,0.0001292774678029887,0.033243776785345534,2.8283336
11904,0.5,0.00025901351258608533,0.03174821022169976,2.7820659
11968,0.5,0.0002775400645287636,0.04680041036835933,2.7957346
12032,0.5,0.00016111999093482154,0.04518447010631219,2.8285387
12096,0.5,0.00012419339808939886,0.0366862231253211,2.8284628
12160,0.5,0.00033318846544716507,0.035172627997367686,2.818092
12224,0.5,0.00024157392592180123,0.04110736215995315,2.8689423
12288,0.5,0.00014696048313400003,0.03006694927239137,2.8340893
12352,0.5,9.565408941448873e-05,0.04076034107188038,2.851908
12416,0.5,8.529452392277534e-05,0.027370372251731428,2.807823
12480,0.5,0.00017310982371675302,0.03589417131406662,2.8081646
12544,0.5,0.00016931871874616123,0.041327272301094474,2.7783046
12608,0.5,0.0001837620231526671,0.03707119819110722,2.7880104
12672,0.5,0.0002479974822652694,0.052513242743308354,2.806664
12736,0.5,8.417656723738047e-05,0.03233508251970643,2.8467002
12800,0.5,0.00014355351612647537,0.03090810493323456,2.854415
12864,0.5,0.00019017261903418186,0.07417077662180721,2.7593265
12928,0.5,0.0001456178399026752,0.03841116046000343,2.69697
12992,0.5,0.000148107349546348,0.040235476761579944,2.7365162
13056,0.5,0.00021731979872771155,0.04105907805657642,2.6725266
13120,0.5,0.00016012126368216494,0.035597427983620866,2.756672
13184,0.5,0.00023240261634782655,0.043798245673858476,2.7555382
13248,0.5,0.00014352106394442777,0.05206672301711815,2.724101
13312,0.5,0.00015563019581848846,0.03289019252574247,2.6912646
13376,0.5,7.125651631040022e-05,0.03699939428856952,2.7411172
13440,0.5,0.00012581083474423626,0.03394412697270131,2.7221096
13504,0.5,9.524716532233959e-05,0.0573607904668438,2.7324228
13568,0.5,0.00012627022517826557,0.03837508579853117,2.6972988
13632,0.5,0.00019904120410118545,0.03753216995606498,2.6939082
13696,0.5,0.00013197281174749756,0.03890224882583457,2.7617304
13760,0.5,0.0001762351502184717,0.026966564384952416,2.7069023
13824,0.5,0.0001509477643499415,0.03233084234685784,2.7615368
13888,0.5,0.00030278886924116094,0.026404165274394743,2.7260306
13952,0.5,0.00019938973171302853,0.027767264004711145,3.1361625
14016,0.5,0.00014550728544114166,0.036511329072277374,2.7727456
14080,0.5,0.00018643121971315165,0.03332203627220747,2.9965117
14144,0.5,0.00022553868354811905,0.046627381691591425,2.9134977
14208,0.5,0.00014789184375519558,0.051590240368181106,3.273446
14272,0.5,0.00014253368691938436,0.03514608974867522,2.8878405
14336,0.5,0.00023190423274854766,0.04523097337810863,2.9829235
14400,0.5,0.00011180166178611536,0.03652957013473837,2.9520655
14464,0.5,0.00015249752488505857,0.048638870717990654,2.9434772
14528,0.5,0.00014282492570316663,0.05208208213354786,2.830371
14592,0.5,9.84067091709361e-05,0.029351557490376295,2.7938898
14656,0.5,0.00023627801429183356,0.04581817042113336,2.845022
14720,0.5,0.00028673766802753294,0.05158631249317047,2.8549328
14784,0.5,0.0002046757643470568,0.031018957352080177,2.8522196
14848,0.5,9.297711315617386e-05,0.02946372104044906,2.9245048
14912,0.5,0.00013409150503996948,0.03033564789219596,3.0701861
14976,0.5,9.734953298590199e-05,0.03470423435849222,2.9358163
15040,0.5,0.0003133284000682579,0.02963602233282308,2.9272091
15104,0.5,0.00017443858973406764,0.037814246593703395,2.7268324
15168,0.5,0.00022069971580012608,0.03928452236793958,2.711069
15232,0.5,0.00025613958805211846,0.04439422007911121,2.7334566
15296,0.5,0.00012433155233537718,0.029840325643663488,2.788756
15360,0.5,0.00040897517384381874,0.05284870785254699,2.72622
15424,0.5,0.00014190883041140167,0.04599634562864719,2.7827725
15488,0.5,0.00014277898668436906,0.041653978142174704,2.7642071
15552,0.5,0.00014273858880967184,0.03426186506093902,2.758831
15616,0.5,0.00014069750569901908,0.038680076916898336,2.7365248
15680,0.5,0.00018203732660577562,0.02810387736132721,2.6690164
15744,0.5,0.00013419311379062778,0.028852312544382534,2.7495482
15808,0.5,0.00014206827044649373,0.029566732462715857,2.7546146
15872,0.5,0.00018660155508963986,0.027319884925397733,2.695006
15936,0.5,9.142376912961004e-05,0.02458158242019423,2.6926026
16000,0.5,0.00016713697800357173,0.03385230450466249,2.6569576
16064,0.5,0.000108352161692902,0.03062950982067915,1.833442
16128,0.5,0.0001737174620696654,0.036243548515424454,1.8437546
16192,0.5,0.00017710809030162277,0.04729658884236158,1.7873788
16256,0.5,0.0004311895919834248,0.041842936980050253,1.7458761
16320,0.5,0.0001264883374432202,0.03853933307713727,1.7313225
16384,0.5,0.00017959865081907146,0.04005839190370684,1.7781898
16448,0.5,0.00010470974840035734,0.03191935148408912,1.7658572
16512,0.5,0.00010027862673983431,0.04428223080991519,1.8417218
16576,0.5,0.0001406048482400764,0.02451637672549073,1.7515681
16640,0.5,0.00017479481107000248,0.04275314984269364,1.66282
16704,0.5,0.00011933394678725192,0.028156695362538033,1.7451367
16768,0.5,7.708870613415082e-05,0.026851324562316717,1.6434035
16832,0.5,0.000236061562806272,0.0371432849057452,1.6401947
16896,0.5,8.786236561475011e-05,0.027342367790146045,1.6905855
16960,0.5,0.00013877740704303315,0.03803162482757327,1.6687162
17024,0.5,0.00012137337156066981,0.027702300053255444,1.6248586
17088,0.5,6.697656006750666e-05,0.028617916178727762,1.6244402
17152,0.5,0.0005650800058889141,0.05418360422910964,1.6585487
17216,0.5,0.0002485408068973755,0.03969694880748024,1.6568197
17280,0.5,6.66853562694902e-05,0.021963727077965577,1.7034246
17344,0.5,6.947132508055522e-05,0.03948217895093766,1.6381005
17408,0.5,6.180631120156756e-05,0.018185382626403537,1.636149
17472,0.5,7.195450641812562e-05,0.03416946318663589,1.5978332
17536,0.5,0.00016869250282023612,0.03275051395246671,1.6917639
17600,0.5,5.6113611390173904e-05,0.0226708128897503,1.6078352
17664,0.5,0.0001366658003749571,0.04421085830593488,1.6760406
17728,0.5,0.00014422560222685985,0.03168957822576093,1.6187981
17792,0.5,9.158430431928839e-05,0.028509233492248615,1.6576165
17856,0.5,5.157991539464193e-05,0.028885125938476346,1.650151
17920,0.5,7.361056401578026e-05,0.022341403859205196,1.6550407
17984,0.5,0.0001475784881712081,0.04129389640290392,1.6580456
18048,0.5,0.0001509132659791519,0.023209646319911143,1.7004858
18112,0.5,0.0001348502805006818,0.02957344231895431,1.6532463
18176,0.5,8.109131784014888e-05,0.031112273946014346,1.6892564
18240,0.5,0.00012792004663542567,0.034764082395631446,1.6224597
18304,0.5,0.0001270860264210367,0.026494716981494127,1.6403099
18368,0.5,0.0002123551628768563,0.03954945751708671,1.6535946
18432,0.5,0.000177081011743747,0.04073170379140885,1.5932411
18496,0.5,0.00018241892881963975,0.04093897400091894,1.6533142
18560,0.5,0.000235367400683341,0.03823427147980556,1.661367
18624,0.5,0.00014399405269396596,0.02919595842196379,1.6500341
18688,0.5,0.00010648417916062528,0.027587575672586618,1.6944082
18752,0.5,0.00016602328197594444,0.036101025579014255,1.6731061
18816,0.5,0.0002418143392083973,0.027412452945451193,1.7854263
18880,0.5,0.00018524154312098804,0.045181434873874625,1.7600586
18944,0.5,0.00018107994813309393,0.0389086803345394,1.6295904
19008,0.5,0.00012591020875853636,0.025212068620609707,1.740356
19072,0.5,0.0008070892423171656,0.037183256853431164,1.6904439
19136,0.5,0.00024767172903921163,0.045406963644859084,1.7046906
19200,0.5,0.00010871923388723899,0.03247671318754857,1.6100588
19264,0.5,0.00010501675838335919,0.029178343571220875,1.6489239
19328,0.5,0.00013227691201653656,0.028452799254825738,1.6423587
19392,0.5,0.00019761510690737165,0.04506949014162053,1.6525621
19456,0.5,0.00010036466073870542,0.02215889777940435,1.6301742
19520,0.5,0.0001534194624844708,0.026387909340798984,1.6558247
19584,0.5,0.00013648670397666744,0.03504614500977321,1.6389182
19648,0.5,7.681902017160927e-05,0.02782033240073807,1.6991907
19712,0.5,0.00029148411178119623,0.03137288389066342,1.6790282
19776,0.5,0.00011940550383293669,0.03377829876229096,1.6570318
19840,0.5,0.00010742788984779301,0.024988374109039604,1.6062635
19904,0.5,0.00011132646329609947,0.045061488375985545,1.7086203
19968,0.5,0.00018039954531039775,0.025104772513356376,1.6630617
20032,0.5,0.0001870028466839034,0.031762086896688996,1.7243176
20096,0.5,0.00010577232835888593,0.029639984017169448,1.6669985
20160,0.5,0.0001834571943996329,0.03725610024520354,1.6163592
20224,0.5,9.508402756462322e-05,0.04101840042441159,1.6802361
