episode,nc_last
1,4.7632303
4000,2.7847853
8000,2.4140413
12000,1.2393017
16000,1.1279988
20000,1.0067923
24000,1.0078228
28000,0.9851601
32000,0.9316959
36000,1.2452815
40000,1.1752803
44000,1.1498756
48000,1.183569
52000,1.4590876
56000,1.6099832
60000,1.7182033
64000,1.7000651
68000,1.9391556
72000,1.3752835
76000,1.7406808
80000,1.4870965
84000,1.4476367
88000,1.4781985
92000,1.4146228
96000,2.040817
100000,1.94973
104000,2.1443064
108000,2.211987
112000,2.3352478
116000,2.3198898
120000,2.620164
124000,2.3466976
128000,2.19106
132000,2.1034272
136000,1.7525784
140000,1.3903469
144000,1.3128262
148000,1.4660897
152000,1.5454319
156000,1.5712013
160000,1.7057043
164000,1.6392121
168000,1.7377651
172000,1.6611624
176000,1.6608154
180000,1.7053629
184000,1.5372247
188000,1.4715862
192000,1.3356334
196000,1.348099
200000,1.2958951
204000,1.3120174
208000,1.265183
212000,1.3499044
216000,1.0948262
220000,1.3451627
224000,1.342413
228000,1.2858636
232000,1.1611533
236000,1.0637712
240000,1.0869882
244000,1.1451993
248000,1.1289953
252000,1.1106771
256000,1.2185609
260000,1.1940372
264000,1.1807039
268000,1.1435316
272000,1.1106639
276000,1.1095884
280000,1.2015465
284000,1.1736438
288000,1.0982001
292000,1.114626
296000,1.1027336
300000,1.1957762
304000,1.1722127
308000,1.0925663
312000,1.0571885
316000,0.973914
320000,0.88681656
324000,0.88634545
328000,0.9251324
332000,0.9255661
336000,0.84073305
340000,0.8448827
344000,0.81011784
348000,0.849323
352000,0.80839866
356000,0.7758434
360000,0.77792203
364000,0.8277545
368000,0.72433424
372000,0.7281652
376000,0.70975554
380000,0.7394226
384000,0.69296473
388000,0.6981394
392000,0.690659
396000,0.7139629
400000,0.66182667
