episode,nc_last
1,4.732258
4000,2.2243314
8000,1.3560284
12000,1.1556258
16000,0.9689164
20000,0.9560454
24000,1.0728037
28000,1.3297205
32000,1.3591194
36000,1.4729652
40000,1.5394299
44000,1.5120953
48000,1.5066969
52000,1.4603443
56000,1.3591177
60000,1.3959739
64000,1.4298575
68000,1.4545593
72000,1.457366
76000,1.4262829
80000,1.4630101
84000,1.4414849
88000,1.3716904
92000,1.3210294
96000,1.3508874
100000,1.4258103
104000,1.3995367
108000,1.4047852
112000,1.3799196
116000,1.4442935
120000,1.4081986
124000,1.3581016
128000,1.2959005
132000,1.301116
136000,1.3183548
140000,1.3298866
144000,1.3568039
148000,1.3681221
152000,1.415734
156000,1.4282324
160000,1.4338638
164000,1.4404114
168000,1.4535217
172000,1.450904
176000,1.4535831
180000,1.4564493
184000,1.4681377
188000,1.4507216
192000,1.5237027
196000,1.595741
200000,1.615789
204000,1.6175437
208000,1.5480772
212000,1.4732666
216000,1.5005299
220000,1.6047823
224000,1.6983976
228000,1.6377687
232000,1.7000858
236000,1.8107452
240000,1.881068
244000,1.8912385
248000,2.012057
252000,2.0220208
256000,2.0463674
260000,2.0337615
264000,2.0361812
268000,2.0444508
272000,2.0760462
276000,2.120743
280000,2.113352
284000,2.0956197
288000,2.0856285
292000,2.0919406
296000,2.1152189
300000,2.03878
304000,2.02917
308000,2.0345001
312000,2.0013576
316000,1.9379576
320000,1.9541091
324000,1.9780408
328000,1.9955775
332000,1.960409
336000,1.9709494
340000,1.9489225
344000,1.9462543
348000,1.9422526
352000,1.9800951
356000,1.9686611
360000,1.942369
364000,1.9297994
368000,1.9048271
372000,1.8947761
376000,1.8788083
380000,1.7615299
384000,1.7625538
388000,1.7623682
392000,1.7561467
396000,1.7142813
400000,1.7295272
