episode,nc_last
1,4.7632303
4000,1.5344896
8000,1.4455141
12000,1.4126697
16000,1.4246924
20000,1.6946247
24000,1.949077
28000,1.3590901
32000,1.7504971
36000,1.0884509
40000,1.7946355
44000,1.8697824
48000,1.9525228
52000,2.0512614
56000,1.855064
60000,1.792537
64000,1.9759438
68000,2.0110009
72000,1.6576483
76000,1.6635284
80000,1.6008679
84000,1.6903005
88000,1.661114
92000,1.6804724
96000,1.539946
100000,1.7233168
104000,1.840825
108000,1.8470712
112000,1.8067722
116000,1.8585427
120000,1.8001888
124000,1.7466214
128000,1.9466647
132000,2.0104423
136000,1.814138
140000,1.7092557
144000,1.6692086
148000,1.7760761
152000,1.7568238
156000,1.6838148
160000,1.7118313
164000,1.6984797
168000,1.74434
172000,1.7864076
176000,1.7442164
180000,1.8064564
184000,1.7495759
188000,1.6657856
192000,1.7278945
196000,1.9094251
200000,2.1188884
204000,2.0858026
208000,1.9361477
212000,2.0110586
216000,1.896181
220000,1.9409664
224000,2.1056376
228000,2.1606889
232000,2.335257
236000,2.3990922
240000,2.504741
244000,2.3940544
248000,2.7544951
252000,2.8373175
256000,2.8512425
260000,2.774137
264000,2.7384748
268000,2.690843
272000,2.7894611
276000,2.7567558
280000,2.897551
284000,2.8333342
288000,2.961182
292000,3.0132766
296000,3.0687447
300000,3.0649881
304000,2.977726
308000,2.9015632
312000,2.8123713
316000,2.797741
320000,2.8443794
324000,2.7081923
328000,2.656647
332000,2.6250608
336000,2.6324
340000,2.657567
344000,2.6073828
348000,2.7933948
352000,2.7570975
356000,2.892397
360000,2.9503477
364000,2.8637314
368000,2.7470899
372000,2.428671
376000,2.453535
380000,2.1554232
384000,2.1539145
388000,2.0077949
392000,1.9522829
396000,1.7210608
400000,1.6708251
