episode,nc_last
1,4.7632303
4000,1.5344896
8000,1.4455141
12000,1.4126697
16000,1.4246924
20000,1.6946247
24000,1.949077
28000,1.3590901
32000,1.7504971
36000,1.0884509
40000,1.7946355
44000,1.8697824
48000,1.9525228
52000,2.0512614
56000,1.855064
60000,1.792537
64000,1.9759438
68000,2.0110009
72000,1.6576483
76000,1.6635284
80000,1.6008679
84000,1.6903005
88000,1.661114
92000,1.6804724
96000,1.539946
100000,1.7233168
104000,1.840825
108000,1.8470712
112000,1.8067722
116000,1.8585427
120000,1.8001888
124000,1.6069404
128000,1.5187199
132000,1.6640662
136000,1.7549617
140000,1.7509567
144000,1.6492352
148000,1.96419
152000,2.3280666
156000,2.4554536
160000,2.575339
164000,2.56747
168000,2.8053036
172000,2.646431
176000,2.2735853
180000,2.1406307
184000,2.0601602
188000,1.6334609
192000,1.4354557
196000,1.5906588
200000,1.6698469
204000,1.7721152
208000,1.5742357
212000,1.2603347
216000,1.1793358
220000,1.1689177
224000,1.1633593
228000,1.2528191
232000,1.3554792
236000,1.3660438
240000,1.6140683
244000,1.675117
248000,1.882657
252000,1.9537085
256000,1.8375628
260000,2.0884423
264000,1.8639292
268000,1.7507927
272000,1.9314367
276000,2.1059613
280000,1.976473
284000,2.0515733
288000,2.099442
292000,2.3160362
296000,2.174295
300000,2.115704
304000,2.2642114
308000,2.1815593
312000,2.0983233
316000,1.9411738
320000,2.0399637
324000,2.0740128
328000,1.9693017
332000,1.9474733
336000,1.9771727
340000,1.9757416
344000,1.9105973
348000,2.1113396
352000,2.0044556
356000,1.9035199
360000,1.8688242
364000,2.05641
368000,2.093715
372000,1.8370082
376000,1.8262271
380000,2.11625
384000,2.1614301
388000,2.192611
392000,2.3314462
396000,2.2102726
400000,2.6092348
