alg,episode,nc_last
neural_lam05_frz,1,4.7702312
neural_lam05_frz,8000,1.7473676
neural_lam05_frz,16000,1.7098899
neural_lam05_frz,24000,2.3833773
neural_lam05_frz,32000,1.9028218
neural_lam05_frz,40000,1.4885259
neural_lam05_frz,48000,1.6082575
neural_lam05_frz,56000,1.4976823
neural_lam05_frz,64000,1.6060038
neural_lam05_frz,72000,1.5994395
neural_lam05_frz,80000,1.8026856
neural_lam05_frz,88000,1.7286062
neural_lam05_frz,96000,1.7337751
neural_lam05_frz,104000,1.8277043
neural_lam05_frz,112000,1.8254638
neural_lam05_frz,120000,1.5415418
neural_lam05_frz,128000,1.371856
neural_lam05_frz,136000,1.4060199
neural_lam05_frz,144000,1.5682446
neural_lam05_frz,152000,1.5632814
neural_lam05_frz,160000,1.7637739
neural_lam05_frz,168000,1.6262853
neural_lam05_frz,176000,1.7213398
neural_lam05_frz,184000,1.3469118
neural_lam05_frz,192000,1.5352412
neural_lam05_frz,200000,1.3313272
neural_lam05_frz,208000,1.3199799
neural_lam05_frz,216000,1.3719255
neural_lam05_frz,224000,1.4260198
neural_lam05_frz,232000,1.6978827
neural_lam05_frz,240000,1.2772307
neural_lam05_frz,248000,1.2265332
neural_lam05_frz,256000,1.1801746
neural_lam05_frz,264000,1.1415787
neural_lam05_frz,272000,1.2279723
neural_lam05_frz,280000,1.4694022
neural_lam05_frz,288000,1.720853
neural_lam05_frz,296000,1.6528527
neural_lam05_frz,304000,1.8348472
neural_lam05_frz,312000,1.7495489
neural_lam05_frz,320000,2.3184981
neural_lam05_frz,328000,2.5446496
neural_lam05_frz,336000,2.140989
neural_lam05_frz,344000,1.8828783
neural_lam05_frz,352000,2.3447022
neural_lam05_frz,360000,2.3330495
neural_lam05_frz,368000,2.5892944
neural_lam05_frz,376000,2.4246867
neural_lam05_frz,384000,1.903543
neural_lam05_frz,392000,2.129991
neural_lam05_frz,400000,2.0597992
